"Datum";"+A/73068189 [kW]";"Status";
"01.01.2025 00:15:00";1,488;"namìøená data OK";
"01.01.2025 00:30:00";1,471;"namìøená data OK";
"01.01.2025 00:45:00";1,737;"namìøená data OK";
"01.01.2025 01:00:00";1,808;"namìøená data OK";
"01.01.2025 01:15:00";1,598;"namìøená data OK";
"01.01.2025 01:30:00";1,711;"namìøená data OK";
"01.01.2025 01:45:00";1,737;"namìøená data OK";
"01.01.2025 02:00:00";1,514;"namìøená data OK";
"01.01.2025 02:15:00";1,522;"namìøená data OK";
"01.01.2025 02:30:00";1,535;"namìøená data OK";
"01.01.2025 02:45:00";1,747;"namìøená data OK";
"01.01.2025 03:00:00";1,604;"namìøená data OK";
"01.01.2025 03:15:00";1,489;"namìøená data OK";
"01.01.2025 03:30:00";1,577;"namìøená data OK";
"01.01.2025 03:45:00";1,899;"namìøená data OK";
"01.01.2025 04:00:00";1,65;"namìøená data OK";
"01.01.2025 04:15:00";1,524;"namìøená data OK";
"01.01.2025 04:30:00";1,576;"namìøená data OK";
"01.01.2025 04:45:00";1,595;"namìøená data OK";
"01.01.2025 05:00:00";1,662;"namìøená data OK";
"01.01.2025 05:15:00";1,527;"namìøená data OK";
"01.01.2025 05:30:00";1,607;"namìøená data OK";
"01.01.2025 05:45:00";1,581;"namìøená data OK";
"01.01.2025 06:00:00";1,63;"namìøená data OK";
"01.01.2025 06:15:00";1,635;"namìøená data OK";
"01.01.2025 06:30:00";1,767;"namìøená data OK";
"01.01.2025 06:45:00";1,596;"namìøená data OK";
"01.01.2025 07:00:00";1,616;"namìøená data OK";
"01.01.2025 07:15:00";1,767;"namìøená data OK";
"01.01.2025 07:30:00";1,714;"namìøená data OK";
"01.01.2025 07:45:00";1,734;"namìøená data OK";
"01.01.2025 08:00:00";1,542;"namìøená data OK";
"01.01.2025 08:15:00";1,527;"namìøená data OK";
"01.01.2025 08:30:00";1,267;"namìøená data OK";
"01.01.2025 08:45:00";1,068;"namìøená data OK";
"01.01.2025 09:00:00";1,168;"namìøená data OK";
"01.01.2025 09:15:00";1,12;"namìøená data OK";
"01.01.2025 09:30:00";1,018;"namìøená data OK";
"01.01.2025 09:45:00";0,737;"namìøená data OK";
"01.01.2025 10:00:00";0,722;"namìøená data OK";
"01.01.2025 10:15:00";0,464;"namìøená data OK";
"01.01.2025 10:30:00";0,211;"namìøená data OK";
"01.01.2025 10:45:00";0,025;"namìøená data OK";
"01.01.2025 11:00:00";0,051;"namìøená data OK";
"01.01.2025 11:15:00";0,001;"namìøená data OK";
"01.01.2025 11:30:00";0;"namìøená data OK";
"01.01.2025 11:45:00";0;"namìøená data OK";
"01.01.2025 12:00:00";0,001;"namìøená data OK";
"01.01.2025 12:15:00";0,08;"namìøená data OK";
"01.01.2025 12:30:00";0,307;"namìøená data OK";
"01.01.2025 12:45:00";0,721;"namìøená data OK";
"01.01.2025 13:00:00";1,425;"namìøená data OK";
"01.01.2025 13:15:00";1,11;"namìøená data OK";
"01.01.2025 13:30:00";0,92;"namìøená data OK";
"01.01.2025 13:45:00";1,025;"namìøená data OK";
"01.01.2025 14:00:00";1,095;"namìøená data OK";
"01.01.2025 14:15:00";1,054;"namìøená data OK";
"01.01.2025 14:30:00";0,937;"namìøená data OK";
"01.01.2025 14:45:00";0,995;"namìøená data OK";
"01.01.2025 15:00:00";1,111;"namìøená data OK";
"01.01.2025 15:15:00";1,162;"namìøená data OK";
"01.01.2025 15:30:00";1,207;"namìøená data OK";
"01.01.2025 15:45:00";1,48;"namìøená data OK";
"01.01.2025 16:00:00";1,487;"namìøená data OK";
"01.01.2025 16:15:00";1,404;"namìøená data OK";
"01.01.2025 16:30:00";1,477;"namìøená data OK";
"01.01.2025 16:45:00";1,427;"namìøená data OK";
"01.01.2025 17:00:00";1,492;"namìøená data OK";
"01.01.2025 17:15:00";1,532;"namìøená data OK";
"01.01.2025 17:30:00";1,711;"namìøená data OK";
"01.01.2025 17:45:00";1,582;"namìøená data OK";
"01.01.2025 18:00:00";1,446;"namìøená data OK";
"01.01.2025 18:15:00";1,435;"namìøená data OK";
"01.01.2025 18:30:00";1,575;"namìøená data OK";
"01.01.2025 18:45:00";1,52;"namìøená data OK";
"01.01.2025 19:00:00";1,496;"namìøená data OK";
"01.01.2025 19:15:00";1,639;"namìøená data OK";
"01.01.2025 19:30:00";1,551;"namìøená data OK";
"01.01.2025 19:45:00";1,473;"namìøená data OK";
"01.01.2025 20:00:00";1,447;"namìøená data OK";
"01.01.2025 20:15:00";1,538;"namìøená data OK";
"01.01.2025 20:30:00";1,357;"namìøená data OK";
"01.01.2025 20:45:00";1,55;"namìøená data OK";
"01.01.2025 21:00:00";1,619;"namìøená data OK";
"01.01.2025 21:15:00";1,694;"namìøená data OK";
"01.01.2025 21:30:00";1,434;"namìøená data OK";
"01.01.2025 21:45:00";1,384;"namìøená data OK";
"01.01.2025 22:00:00";1,583;"namìøená data OK";
"01.01.2025 22:15:00";1,6;"namìøená data OK";
"01.01.2025 22:30:00";1,526;"namìøená data OK";
"01.01.2025 22:45:00";1,572;"namìøená data OK";
"01.01.2025 23:00:00";1,687;"namìøená data OK";
"01.01.2025 23:15:00";1,472;"namìøená data OK";
"01.01.2025 23:30:00";1,482;"namìøená data OK";
"01.01.2025 23:45:00";1,461;"namìøená data OK";
"01.01.2025 24:00:00";1,63;"namìøená data OK";
"02.01.2025 00:15:00";1,642;"namìøená data OK";
"02.01.2025 00:30:00";1,562;"namìøená data OK";
"02.01.2025 00:45:00";1,629;"namìøená data OK";
"02.01.2025 01:00:00";1,604;"namìøená data OK";
"02.01.2025 01:15:00";1,437;"namìøená data OK";
"02.01.2025 01:30:00";1,498;"namìøená data OK";
"02.01.2025 01:45:00";1,694;"namìøená data OK";
"02.01.2025 02:00:00";1,556;"namìøená data OK";
"02.01.2025 02:15:00";1,601;"namìøená data OK";
"02.01.2025 02:30:00";1,447;"namìøená data OK";
"02.01.2025 02:45:00";1,518;"namìøená data OK";
"02.01.2025 03:00:00";1,502;"namìøená data OK";
"02.01.2025 03:15:00";1,547;"namìøená data OK";
"02.01.2025 03:30:00";1,537;"namìøená data OK";
"02.01.2025 03:45:00";1,523;"namìøená data OK";
"02.01.2025 04:00:00";1,423;"namìøená data OK";
"02.01.2025 04:15:00";1,57;"namìøená data OK";
"02.01.2025 04:30:00";1,756;"namìøená data OK";
"02.01.2025 04:45:00";1,542;"namìøená data OK";
"02.01.2025 05:00:00";1,386;"namìøená data OK";
"02.01.2025 05:15:00";1,47;"namìøená data OK";
"02.01.2025 05:30:00";1,633;"namìøená data OK";
"02.01.2025 05:45:00";1,477;"namìøená data OK";
"02.01.2025 06:00:00";1,438;"namìøená data OK";
"02.01.2025 06:15:00";1,499;"namìøená data OK";
"02.01.2025 06:30:00";1,563;"namìøená data OK";
"02.01.2025 06:45:00";1,554;"namìøená data OK";
"02.01.2025 07:00:00";1,511;"namìøená data OK";
"02.01.2025 07:15:00";1,649;"namìøená data OK";
"02.01.2025 07:30:00";1,493;"namìøená data OK";
"02.01.2025 07:45:00";1,373;"namìøená data OK";
"02.01.2025 08:00:00";1,419;"namìøená data OK";
"02.01.2025 08:15:00";1,81;"namìøená data OK";
"02.01.2025 08:30:00";3,046;"namìøená data OK";
"02.01.2025 08:45:00";3,681;"namìøená data OK";
"02.01.2025 09:00:00";3,461;"namìøená data OK";
"02.01.2025 09:15:00";3,369;"namìøená data OK";
"02.01.2025 09:30:00";3,198;"namìøená data OK";
"02.01.2025 09:45:00";3,035;"namìøená data OK";
"02.01.2025 10:00:00";2,805;"namìøená data OK";
"02.01.2025 10:15:00";2,8;"namìøená data OK";
"02.01.2025 10:30:00";2,77;"namìøená data OK";
"02.01.2025 10:45:00";2,932;"namìøená data OK";
"02.01.2025 11:00:00";3,105;"namìøená data OK";
"02.01.2025 11:15:00";2,873;"namìøená data OK";
"02.01.2025 11:30:00";2,82;"namìøená data OK";
"02.01.2025 11:45:00";3,053;"namìøená data OK";
"02.01.2025 12:00:00";3,124;"namìøená data OK";
"02.01.2025 12:15:00";2,81;"namìøená data OK";
"02.01.2025 12:30:00";2,842;"namìøená data OK";
"02.01.2025 12:45:00";2,891;"namìøená data OK";
"02.01.2025 13:00:00";2,925;"namìøená data OK";
"02.01.2025 13:15:00";4,026;"namìøená data OK";
"02.01.2025 13:30:00";4,675;"namìøená data OK";
"02.01.2025 13:45:00";4,402;"namìøená data OK";
"02.01.2025 14:00:00";4,38;"namìøená data OK";
"02.01.2025 14:15:00";3,443;"namìøená data OK";
"02.01.2025 14:30:00";1,338;"namìøená data OK";
"02.01.2025 14:45:00";0,786;"namìøená data OK";
"02.01.2025 15:00:00";0,797;"namìøená data OK";
"02.01.2025 15:15:00";0,799;"namìøená data OK";
"02.01.2025 15:30:00";0,787;"namìøená data OK";
"02.01.2025 15:45:00";1,05;"namìøená data OK";
"02.01.2025 16:00:00";1,025;"namìøená data OK";
"02.01.2025 16:15:00";1,048;"namìøená data OK";
"02.01.2025 16:30:00";1,087;"namìøená data OK";
"02.01.2025 16:45:00";1,103;"namìøená data OK";
"02.01.2025 17:00:00";1,071;"namìøená data OK";
"02.01.2025 17:15:00";1,207;"namìøená data OK";
"02.01.2025 17:30:00";1,279;"namìøená data OK";
"02.01.2025 17:45:00";1,234;"namìøená data OK";
"02.01.2025 18:00:00";1,108;"namìøená data OK";
"02.01.2025 18:15:00";1,174;"namìøená data OK";
"02.01.2025 18:30:00";1,438;"namìøená data OK";
"02.01.2025 18:45:00";1,474;"namìøená data OK";
"02.01.2025 19:00:00";1,427;"namìøená data OK";
"02.01.2025 19:15:00";1,271;"namìøená data OK";
"02.01.2025 19:30:00";1,419;"namìøená data OK";
"02.01.2025 19:45:00";1,338;"namìøená data OK";
"02.01.2025 20:00:00";1,439;"namìøená data OK";
"02.01.2025 20:15:00";1,462;"namìøená data OK";
"02.01.2025 20:30:00";1,455;"namìøená data OK";
"02.01.2025 20:45:00";1,415;"namìøená data OK";
"02.01.2025 21:00:00";1,482;"namìøená data OK";
"02.01.2025 21:15:00";1,569;"namìøená data OK";
"02.01.2025 21:30:00";1,464;"namìøená data OK";
"02.01.2025 21:45:00";1,401;"namìøená data OK";
"02.01.2025 22:00:00";1,441;"namìøená data OK";
"02.01.2025 22:15:00";1,72;"namìøená data OK";
"02.01.2025 22:30:00";1,676;"namìøená data OK";
"02.01.2025 22:45:00";1,672;"namìøená data OK";
"02.01.2025 23:00:00";1,588;"namìøená data OK";
"02.01.2025 23:15:00";1,543;"namìøená data OK";
