"Datum od";"Datum do";"Datová øada";"Max";"Min";"Celkem";"Prùmìr";"Poslední hod. registru";"Celkem v intervalu";"Úèiník";"Úplnost dat";"CO2";
"01.01.2024 00:00";"01.02.2024 00:00";"-A/73068189";"6,886 kW (30.01.2024 12:15)";"0 kW (01.01.2024 00:15)";"";"0,327 kW";"";"243,2475 kWh";"";"100 %";"0,2092 t";
"01.02.2024 00:00";"01.03.2024 00:00";"-A/73068189";"7,931 kW (24.02.2024 11:15)";"0 kW (01.02.2024 00:15)";"";"0,5316 kW";"";"370,0135 kWh";"";"100 %";"0,3182 t";
"01.03.2024 00:00";"01.04.2024 00:00";"-A/73068189";"9,705 kW (29.03.2024 11:30)";"0 kW (01.03.2024 00:15)";"";"1,0678 kW";"";"793,4015 kWh";"";"100 %";"0,6823 t";
"01.04.2024 00:00";"01.05.2024 00:00";"-A/73068189";"9,026 kW (27.04.2024 12:30)";"0 kW (01.04.2024 00:15)";"";"1,2692 kW";"";"913,8312 kWh";"";"100 %";"0,7859 t";
"01.05.2024 00:00";"01.06.2024 00:00";"-A/73068189";"9,018 kW (02.05.2024 12:30)";"0 kW (01.05.2024 00:15)";"";"1,7337 kW";"";"1 289,841 kWh";"";"100 %";"1,1093 t";
"01.06.2024 00:00";"01.07.2024 00:00";"-A/73068189";"8,692 kW (03.06.2024 12:30)";"0 kW (01.06.2024 00:15)";"";"1,6911 kW";"";"1 217,6305 kWh";"";"100 %";"1,0472 t";
"01.07.2024 00:00";"01.08.2024 00:00";"-A/73068189";"8,749 kW (04.07.2024 13:00)";"0 kW (01.07.2024 00:15)";"";"1,5482 kW";"";"1 151,8812 kWh";"";"99,2608 %";"0,9906 t";
"01.08.2024 00:00";"01.09.2024 00:00";"-A/73068189";"8,569 kW (06.08.2024 12:45)";"0 kW (01.08.2024 00:15)";"";"1,542 kW";"";"1 147,2458 kWh";"";"100 %";"0,9866 t";
"01.09.2024 00:00";"01.10.2024 00:00";"-A/73068189";"8,835 kW (30.09.2024 12:45)";"0 kW (01.09.2024 00:15)";"";"1,2257 kW";"";"882,5432 kWh";"";"99,8264 %";"0,759 t";
"01.10.2024 00:00";"01.11.2024 00:00";"-A/73068189";"8,276 kW (12.10.2024 12:00)";"0 kW (01.10.2024 00:15)";"";"0,8963 kW";"";"667,734 kWh";"";"100 %";"0,5743 t";
"01.11.2024 00:00";"01.12.2024 00:00";"-A/73068189";"7,68 kW (21.11.2024 12:00)";"0 kW (01.11.2024 00:15)";"";"0,542 kW";"";"390,2692 kWh";"";"100 %";"0,3356 t";
"01.12.2024 00:00";"31.12.2024 00:00";"-A/73068189";"6,357 kW (02.12.2024 11:45)";"0 kW (01.12.2024 00:15)";"";"0,35 kW";"";"251,9762 kWh";"";"100 %";"0,2167 t";
